Symbiont Index,Host Index,T_MMM_05_degC
746,558,28.78
755,162,28.78
815,680,28.78
750,260,28.78
750,299,28.78
750,309,28.78
750,313,28.78
750,563,28.78
750,680,28.78
750,704,28.78
822,680,28.78
788,679,28.78
756,453,28.78
778,563,28.78
779,563,28.78
734,725,28.78
757,453,28.78
780,260,28.78
789,725,28.78
772,309,28.78
758,563,28.78
766,313,28.78
781,309,28.78
790,563,28.78
869,313,28.78
785,226,28.78
762,57,28.78
762,725,28.78
923,57,28.78
793,725,28.78
791,57,28.78
791,172,28.78
791,226,28.78
791,299,28.78
791,347,28.78
791,376,28.78
741,163,28.78
741,721,28.78
736,163,28.78
736,729,28.78
786,57,28.78
786,260,28.78
786,299,28.78
786,309,28.78
786,313,28.78
786,563,28.78
786,680,28.78
748,57,28.78
748,260,28.78
748,299,28.78
748,309,28.78
748,313,28.78
748,563,28.78
748,680,28.78
750,142,28.97
750,158,28.97
750,160,28.97
750,164,28.97
750,165,28.97
750,169,28.97
750,233,28.97
750,323,28.97
750,327,28.97
750,334,28.97
750,355,28.97
750,494,28.97
750,525,28.97
750,559,28.97
750,564,28.97
750,574,28.97
750,577,28.97
750,589,28.97
750,593,28.97
750,648,28.97
750,662,28.97
750,664,28.97
750,727,28.97
824,707,28.97
825,707,28.97
826,7,28.97
826,88,28.97
826,92,28.97
826,96,28.97
826,101,28.97
826,109,28.97
827,45,28.97
827,50,28.97
827,63,28.97
827,88,28.97
827,92,28.97
827,101,28.97
828,88,28.97
828,92,28.97
828,101,28.97
831,460,28.97
832,101,28.97
832,118,28.97
832,323,28.97
832,326,28.97
833,101,28.97
833,118,28.97
833,323,28.97
794,267,28.97
776,334,28.97
776,612,28.97
776,624,28.97
776,629,28.97
776,642,28.97
776,644,28.97
776,648,28.97
852,624,28.97
852,629,28.97
853,612,28.97
853,642,28.97
853,648,28.97
858,463,28.97
858,469,28.97
859,463,28.97
859,469,28.97
861,232,28.97
861,707,28.97
864,142,28.97
864,158,28.97
864,160,28.97
864,164,28.97
864,165,28.97
864,327,28.97
864,334,28.97
864,355,28.97
864,494,28.97
864,525,28.97
864,559,28.97
864,662,28.97
864,727,28.97
772,574,28.97
772,593,28.97
866,158,28.97
866,160,28.97
866,662,28.97
790,564,28.97
790,577,28.97
790,589,28.97
790,593,28.97
872,327,28.97
872,334,28.97
872,355,28.97
872,559,28.97
874,164,28.97
874,165,28.97
874,494,28.97
874,559,28.97
762,1,28.97
762,3,28.97
762,7,28.97
762,47,28.97
762,58,28.97
762,61,28.97
762,63,28.97
762,88,28.97
762,92,28.97
762,96,28.97
762,100,28.97
762,101,28.97
762,113,28.97
762,118,28.97
762,158,28.97
762,191,28.97
762,212,28.97
762,213,28.97
762,219,28.97
762,221,28.97
762,229,28.97
762,232,28.97
762,233,28.97
762,263,28.97
762,264,28.97
762,267,28.97
762,270,28.97
762,272,28.97
762,273,28.97
762,274,28.97
762,281,28.97
762,284,28.97
762,294,28.97
762,298,28.97
762,303,28.97
