Clade,Type,Host_Family,Host_Genus,Host_Sci_Name,Ocean,Region,host_tol,symb_ID,host_ID,T_MMM_05
C,C46,Siderastreidae,Siderastrea,Siderastrea sp.,Caribbean,Eastern_Caribbean,0.815,939,696,29.63
C,C46a,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Eastern_Caribbean,0.769,940,685,29.63
C,C46a,Siderastreidae,Siderastrea,Siderastrea sp.,Caribbean,Eastern_Caribbean,0.815,940,696,29.63
C,C48,Mussidae,Mycetophyllia,Mycetophyllia sp.,Caribbean,Eastern_Caribbean,0.907,941,490,29.63
C,C7,Faviidae,Montastraea,Montastraea annularis,Caribbean,Eastern_Caribbean,0.811,741,408,29.63
C,C7,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Eastern_Caribbean,0.780,741,425,29.63
C,C7,Faviidae,Montastraea,Montastraea franksi,Caribbean,Eastern_Caribbean,0.826,741,430,29.63
C,C7a,Faviidae,Montastraea,Montastraea annularis,Caribbean,Eastern_Caribbean,0.811,739,408,29.63
C,C7a,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Eastern_Caribbean,0.780,739,425,29.63
C,C7a,Faviidae,Montastraea,Montastraea franksi,Caribbean,Eastern_Caribbean,0.826,739,430,29.63
C,C80,Poritidae,Porites,Porites astreoides,Caribbean,Eastern_Caribbean,0.840,966,604,29.63
C,C81,Meandrinidae,Dichocoenia,Dichocoenia stokesi,Caribbean,Eastern_Caribbean,0.898,740,185,29.63
C,C81,Faviidae,Diploria,Diploria labyrinthiformis,Caribbean,Eastern_Caribbean,0.877,740,198,29.63
C,C81,Faviidae,Favia,Favia fragum,Caribbean,Eastern_Caribbean,0.658,740,244,29.63
C,C81,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Eastern_Caribbean,0.810,740,693,29.63
C,C82,Poritidae,Porites,Porites divaricata,Caribbean,Eastern_Caribbean,0.973,967,619,29.63
C,C82,Poritidae,Porites,Porites porites,Caribbean,Eastern_Caribbean,0.802,967,639,29.63
C,C83,Mussidae,Mycetophyllia,Mycetophyllia ferox,Caribbean,Eastern_Caribbean,0.890,968,487,29.63
D,D1,Faviidae,Colpophyllia,Colpophyllia natans,Caribbean,Eastern_Caribbean,0.820,786,151,29.63
D,D1,Faviidae,Diploria,Diploria clivosa,Caribbean,Eastern_Caribbean,0.825,786,195,29.63
D,D1,Faviidae,Diploria,Diploria labyrinthiformis,Caribbean,Eastern_Caribbean,0.877,786,198,29.63
D,D1,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Eastern_Caribbean,0.780,786,425,29.63
D,D1,Mussidae,Scolymia,Scolymia sp.,Caribbean,Eastern_Caribbean,0.313,786,677,29.63
D,D1,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Eastern_Caribbean,0.769,786,685,29.63
