Spatial Scale,dif_means,obt_p,Obt_f,Pval,type1,type2,p_adjust_holm,,,,,,,
j,0.001010101,0.94144357,0.005409583,0.89010989,hsrand_dtemp,net_dtemp,0.89010989,,,,,,,
j,-0.75959596,5.08E-92,1431.064195,0.000999001,hsrand_dtemp,rand_dtemp,0.00999001,,,,,,,
j,0.332323232,2.65E-64,652.9372153,0.000999001,hsrand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
j,0.182828283,3.65E-33,213.2424283,0.000999001,hsrand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
j,-0.760606061,1.53E-91,1412.837071,0.000999001,net_dtemp,rand_dtemp,0.00999001,,,,,,,
j,0.331313131,6.49E-63,625.7110979,0.000999001,net_dtemp,rbdc_dtemp,0.00999001,,,,,,,
j,0.181818182,4.69E-32,202.7586207,0.000999001,net_dtemp,rbndc_dtemp,0.00999001,,,,,,,
j,1.091919192,1.60E-121,3057.10032,0.000999001,rand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
j,0.942424242,4.03E-111,2352.024318,0.000999001,rand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
j,-0.149494949,1.12E-26,155.6629442,0.000999001,rbdc_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ind,0.001030928,0.845639736,0.038004751,0.951048951,hsrand_dtemp,net_dtemp,1,,,,,,,
ind,-0.47628866,2.80E-117,2860.221106,0.000999001,hsrand_dtemp,rand_dtemp,0.00999001,,,,,,,
ind,0.316494845,2.15E-94,1571.362279,0.000999001,hsrand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ind,0.316494845,2.15E-94,1571.362279,0.000999001,hsrand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ind,-0.477319588,8.25E-118,2899.327134,0.000999001,net_dtemp,rand_dtemp,0.00999001,,,,,,,
ind,0.315463918,1.40E-94,1579.243851,0.000999001,net_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ind,0.315463918,1.40E-94,1579.243851,0.000999001,net_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ind,0.792783505,3.09E-143,5495.70726,0.000999001,rand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ind,0.792783505,3.09E-143,5495.70726,0.000999001,rand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ind,0,1,1.24E-27,0.984015984,rbdc_dtemp,rbndc_dtemp,1,,,,,,,
wa,0.002020202,0.581504651,0.304821151,0.718281718,hsrand_dtemp,net_dtemp,0.718281718,,,,,,,
wa,-0.711111111,1.73E-58,544.6940451,0.000999001,hsrand_dtemp,rand_dtemp,0.00999001,,,,,,,
wa,0.62020202,2.31E-167,9353.318481,0.000999001,hsrand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
wa,0.596969697,3.25E-130,3794.007759,0.000999001,hsrand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
wa,-0.713131313,9.99E-59,548.8396404,0.000999001,net_dtemp,rand_dtemp,0.00999001,,,,,,,
wa,0.618181818,6.32E-169,9710.4,0.000999001,net_dtemp,rbdc_dtemp,0.00999001,,,,,,,
wa,0.594949495,1.04E-130,3840.743109,0.000999001,net_dtemp,rbndc_dtemp,0.00999001,,,,,,,
wa,1.331313131,6.31E-102,1857.197504,0.000999001,rand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
wa,1.308080808,1.64E-98,1698.937831,0.000999001,rand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
wa,-0.023232323,0.035116556,4.501736714,0.045954046,rbdc_dtemp,rbndc_dtemp,0.091908092,,,,,,,
wi,0.001010101,0.903284905,0.014803625,0.829170829,hsrand_dtemp,net_dtemp,0.829170829,,,,,,,
wi,-0.601010101,6.22E-103,1906.288462,0.000999001,hsrand_dtemp,rand_dtemp,0.00999001,,,,,,,
wi,0.294949495,2.78E-94,1519.80211,0.000999001,hsrand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
wi,0.273737374,2.66E-82,1099.147526,0.000999001,hsrand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
wi,-0.602020202,2.23E-103,1928.382894,0.000999001,net_dtemp,rand_dtemp,0.00999001,,,,,,,
wi,0.293939394,4.71E-95,1551.165981,0.000999001,net_dtemp,rbdc_dtemp,0.00999001,,,,,,,
wi,0.272727273,7.32E-83,1116.28125,0.000999001,net_dtemp,rbndc_dtemp,0.00999001,,,,,,,
wi,0.895959596,1.22E-137,4554.244654,0.000999001,rand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
wi,0.874747475,3.08E-133,4087.635595,0.000999001,rand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
wi,-0.021212121,0.004673765,8.188328912,0.005994006,rbdc_dtemp,rbndc_dtemp,0.011988012,,,,,,,
ph,0.008247423,0.248622344,1.339145597,0.23976024,hsrand_dtemp,net_dtemp,0.47952048,,,,,,,
ph,-0.568041237,7.92E-116,2755.833585,0.000999001,hsrand_dtemp,rand_dtemp,0.00999001,,,,,,,
ph,0.186597938,5.16E-65,680.1591696,0.000999001,hsrand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ph,0.191752577,1.45E-60,592.0171123,0.000999001,hsrand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ph,-0.57628866,1.43E-116,2808.817978,0.000999001,net_dtemp,rand_dtemp,0.00999001,,,,,,,
ph,0.178350515,2.16E-61,607.6954315,0.000999001,net_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ph,0.183505155,2.95E-57,532.3178159,0.000999001,net_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ph,0.754639175,8.49E-138,4800.215006,0.000999001,rand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ph,0.759793814,8.09E-135,4456.009571,0.000999001,rand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ph,0.005154639,0.519013045,0.417391304,0.42957043,rbdc_dtemp,rbndc_dtemp,0.47952048,,,,,,,
gp,0.789690722,1.32E-147,6124.002609,0.000999001,global,pac,0.005994006,,,,,,,
