spatial scale,RobustnessType,diff_obs,obt_p,obt_F,pval,type1,type2,p_adjust_holm
gbr_r.permres.201,SymbiontRobustness,-0.375423837,2.40E-117,2753.251999,0.000999001,LT_BL,DLH,0
gbr_r.permres.211,SymbiontRobustness,0.170819304,5.34E-83,1120.5033,0.000999001,LT_SL,LT_HL,0
gbr_r.permres.221,SymbiontRobustness,-0.06406089,0.000243049,13.97497363,0.001998002,LT_SL,RH,0.003
gbr_r.permres.231,SymbiontRobustness,0.239548452,1.45E-108,2203.565579,0.000999001,LT_SL,TLH,0
gbr_r.permres.241,SymbiontRobustness,-0.139464609,2.19E-33,215.3614155,0.000999001,LT_SL,DHH,0
gbr_r.permres.251,SymbiontRobustness,-0.203995266,2.13E-77,958.3285079,0.000999001,LT_SL,DLH,0
gbr_r.permres.261,SymbiontRobustness,-0.234880194,2.04E-32,206.1517222,0.000999001,LT_HL,RH,0
gbr_r.permres.271,SymbiontRobustness,0.068729148,0,5.81E+29,0.000999001,LT_HL,TLH,0
gbr_r.permres.281,SymbiontRobustness,-0.310283913,9.81E-94,1497.904434,0.000999001,LT_HL,DHH,0
gbr_r.permres.291,SymbiontRobustness,-0.37481457,2.78E-161,8082.076874,0.000999001,LT_HL,DLH,0
gbr_r.permres.301,SymbiontRobustness,0.303609342,4.82E-45,344.4486078,0.000999001,RH,TLH,0
gbr_r.permres.311,SymbiontRobustness,-0.075403719,5.18E-05,17.13154683,0.000999001,RH,DHH,0
gbr_r.permres.321,SymbiontRobustness,-0.139934376,1.79E-14,68.70878373,0.000999001,RH,DLH,0
gbr_r.permres.331,SymbiontRobustness,-0.379013061,4.05E-109,2234.981533,0.000999001,TLH,DHH,0
gbr_r.permres.341,SymbiontRobustness,-0.443543717,2.51E-175,11317.82338,0.000999001,TLH,DLH,0
gbr_r.permres.351,SymbiontRobustness,-0.064530657,1.77E-11,50.99676398,0.000999001,DHH,DLH,0
gbr_r.permres2,HostRobustness,-0.042071509,6.13E-51,424.5247756,0.000999001,bleach,RL,0
gbr_r.permres.112,HostRobustness,0.021420555,1.15E-36,248.1836095,0.000999001,bleach,LT_BL,0
gbr_r.permres.212,HostRobustness,-0.064069264,3.24E-102,1871.18624,0.000999001,bleach,LT_SL,0
gbr_r.permres.37,HostRobustness,0.101138368,2.15E-157,7359.555562,0.000999001,bleach,LT_HL,0
gbr_r.permres.42,HostRobustness,-0.030950377,0.108384962,2.601301054,0.122877123,bleach,RS,0.61
gbr_r.permres.52,HostRobustness,-0.017482363,0.002900979,9.096045904,0.001998002,bleach,TLS,0.011
