Symbiont.Index,Host.Index,T_MMM_05_degC
866,669,27.60
867,582,27.60
790,528,27.60
785,441,27.60
785,459,27.60
785,528,27.60
785,568,27.60
875,441,27.60
876,71,27.60
877,24,27.60
877,71,27.60
878,528,27.60
879,441,27.60
880,441,27.60
792,441,27.60
884,24,27.60
884,368,27.60
884,516,27.60
884,528,27.60
885,528,27.60
1196,24,27.60
1197,71,27.60
1198,290,27.60
1199,358,27.60
1200,441,27.60
1201,528,27.60
1202,568,27.60
887,24,27.60
887,71,27.60
888,24,27.60
888,71,27.60
889,568,27.60
890,441,27.60
891,24,27.60
891,71,27.60
891,290,27.60
891,358,27.60
892,24,27.60
892,71,27.60
893,24,27.60
893,71,27.60
894,24,27.60
760,441,27.60
760,459,27.60
895,441,27.60
896,441,27.60
897,441,27.60
898,441,27.60
899,441,27.60
903,449,27.60
904,449,27.60
905,449,27.60
907,588,27.60
916,24,27.60
916,71,27.60
761,568,27.60
761,580,27.60
761,587,27.60
772,528,27.60
937,580,27.60
1573,441,27.60
1574,459,27.60
1575,587,27.60
971,441,27.60
748,441,27.60
748,459,27.60
748,587,27.60
978,627,27.60
978,630,27.60
979,627,27.60
979,630,27.60
980,610,27.60
980,627,27.60
980,630,27.60
981,627,27.60
981,630,27.60
1645,573,27.63
1392,513,27.63
1393,521,27.63
1394,561,27.63
1395,573,27.63
1396,585,27.63
1397,590,27.63
1398,594,27.63
1399,637,27.63
1400,656,27.63
1401,665,27.63
1402,668,27.63
1403,670,27.63
1404,671,27.63
860,652,27.63
864,561,27.63
864,573,27.63
864,585,27.63
864,590,27.63
864,594,27.63
772,513,27.63
772,521,27.63
772,561,27.63
772,573,27.63
772,585,27.63
772,590,27.63
772,594,27.63
865,590,27.63
864,668,27.63
866,656,27.63
866,665,27.63
866,670,27.63
866,671,27.63
761,590,27.63
764,637,27.63
959,637,27.63
960,637,27.63
962,637,27.63
1576,561,27.63
1577,573,27.63
1578,585,27.63
1579,590,27.63
1580,594,27.63
797,60,28.68
1405,12,28.68
1406,29,28.68
1407,38,28.68
1408,44,28.68
1409,52,28.68
1410,72,28.68
1411,74,28.68
1412,94,28.68
1413,111,28.68
1414,137,28.68
1415,143,28.68
1416,159,28.68
1417,161,28.68
1418,166,28.68
1419,173,28.68
1420,175,28.68
1421,177,28.68
1422,215,28.68
1423,236,28.68
1424,251,28.68
1425,255,28.68
1426,279,28.68
1427,282,28.68
1428,293,28.68
1429,297,28.68
1430,300,28.68
1431,314,28.68
1432,321,28.68
1433,329,28.68
1434,332,28.68
1435,335,28.68
1436,338,28.68
1437,353,28.68
1438,356,28.68
1439,369,28.68
1440,403,28.68
1441,406,28.68
1442,478,28.68
1443,515,28.68
1444,527,28.68
1445,555,28.68
1446,566,28.68
1447,579,28.68
1448,586,28.68
1449,595,28.68
1450,599,28.68
1451,657,28.68
1452,659,28.68
1453,660,28.68
1454,666,28.68
1455,674,28.68
1456,681,28.68
1457,705,28.68
1458,730,28.68
733,681,28.68
732,681,28.68
776,444,28.68
776,456,28.68
776,601,28.68
776,613,28.68
776,621,28.68
776,631,28.68
776,633,28.68
776,634,28.68
776,636,28.68
776,645,28.68
776,647,28.68
776,655,28.68
850,456,28.68
858,437,28.68
858,450,28.68
858,456,28.68
863,681,28.68
864,356,28.68
864,527,28.68
864,705,28.68
772,566,28.68
772,579,28.68
772,586,28.68
772,595,28.68
772,705,28.68
868,177,28.68
870,566,28.68
871,681,28.68
785,56,28.68
785,210,28.68
785,227,28.68
785,242,28.68
785,262,28.68
785,268,28.68
785,279,28.68
785,295,28.68
785,318,28.68
785,364,28.68
785,372,28.68
785,403,28.68
785,448,28.68
785,508,28.68
785,518,28.68
882,372,28.68
882,724,28.68
882,726,28.68
883,372,28.68
883,724,28.68
883,726,28.68
792,465,28.68
884,161,28.68
884,527,28.68
886,601,28.68
1203,2,28.68
1204,6,28.68
1205,11,28.68
1206,12,28.68
1207,21,28.68
1208,26,28.68
1209,28,28.68
1210,29,28.68
1211,34,28.68
1212,38,28.68
1213,43,28.68
1214,44,28.68
1215,49,28.68
1216,52,28.68
1217,55,28.68
1218,56,28.68
1219,60,28.68
1220,62,28.68
1221,64,28.68
1222,68,28.68
1223,70,28.68
1224,72,28.68
1225,74,28.68
1226,79,28.68
1227,86,28.68
1228,93,28.68
1229,94,28.68
1230,110,28.68
1231,111,28.68
1232,115,28.68
1233,119,28.68
1234,121,28.68
1235,147,28.68
1236,171,28.68
1237,177,28.68
1238,192,28.68
1239,210,28.68
1240,214,28.68
1241,216,28.68
1242,220,28.68
1243,222,28.68
1244,227,28.68
1245,230,28.68
1246,253,28.68
1247,258,28.68
1248,262,28.68
1249,265,28.68
1250,278,28.68
1251,279,28.68
1252,282,28.68
1253,285,28.68
1254,287,28.68
1255,308,28.68
1256,312,28.68
1257,314,28.68
1258,317,28.68
1259,318,28.68
1260,321,28.68
1261,325,28.68
1262,336,28.68
1263,342,28.68
1264,344,28.68
1265,353,28.68
1266,361,28.68
1267,369,28.68
1268,371,28.68
1269,372,28.68
1270,375,28.68
1271,403,28.68
1272,413,28.68
1273,419,28.68
1274,435,28.68
1275,478,28.68
1276,495,28.68
1277,496,28.68
1278,497,28.68
1279,500,28.68
1280,505,28.68
1281,508,28.68
1282,518,28.68
1283,523,28.68
1284,534,28.68
1285,535,28.68
1286,541,28.68
1287,544,28.68
1288,548,28.68
1289,549,28.68
1290,597,28.68
1291,599,28.68
1292,673,28.68
1293,681,28.68
1294,711,28.68
1295,714,28.68
1296,723,28.68
760,468,28.68
775,566,28.68
906,566,28.68
908,705,28.68
771,705,28.68
909,705,28.68
920,681,28.68
782,6,28.68
782,147,28.68
782,171,28.68
782,210,28.68
782,214,28.68
782,216,28.68
782,220,28.68
782,222,28.68
782,262,28.68
782,278,28.68
782,279,28.68
782,282,28.68
782,285,28.68
782,287,28.68
782,321,28.68
782,336,28.68
782,342,28.68
782,353,28.68
782,369,28.68
782,371,28.68
782,375,28.68
782,478,28.68
782,495,28.68
782,496,28.68
782,497,28.68
782,500,28.68
782,505,28.68
782,508,28.68
782,518,28.68
782,523,28.68
782,534,28.68
782,535,28.68
782,541,28.68
782,548,28.68
782,549,28.68
